,true_model_idx,pmp1,pmp2,pmp3
102,1,0.6015818501056611,0.39839227728428916,2.5872610049760757e-05
103,1,0.5065945836296536,0.4928794632392432,0.0005259531311032681
104,1,0.8476448021846371,0.15235519700991276,8.054499636972075e-10
105,1,0.4452236954897081,0.5513554976589665,0.003420806851325306
106,1,0.7176786272500649,0.28232095205394697,4.2069598795840614e-07
107,1,0.692576733854296,0.30742216866547895,1.0974802251543017e-06
108,1,0.6015818501056611,0.39839227728428916,2.5872610049760757e-05
109,1,0.517785216462526,0.48184300519114565,0.0003717783463283788
110,1,0.5233851696808158,0.4763024868896161,0.00031234342956804414
111,1,0.7779929888884404,0.22200697851569748,3.259586220164984e-08
112,1,0.9323599618654655,0.06764003813398542,5.490040474283976e-13
113,1,0.39362680366390107,0.5913172034558942,0.015055992880204696
114,1,0.34818730235653306,0.6063014640841559,0.04551123355931094
115,1,0.29915514708379576,0.5902080520939473,0.11063680082225703
116,1,0.8701108894680876,0.12988911035049006,1.8142225710423668e-10
117,1,0.38758168432062,0.594730391918893,0.017687923760487195
118,1,0.7511132064403433,0.24888668617599166,1.0738366489385364e-07
119,1,0.3751343405508048,0.6005196887739028,0.024345970675292476
120,1,0.579359779220872,0.4205869748974273,5.324588170056694e-05
121,1,0.3814240005283223,0.5978144413528939,0.02076155811878381
122,1,0.2220345320461467,0.5057742085047559,0.27219125944909744
123,1,0.5065945836296536,0.4928794632392432,0.0005259531311032681
124,1,0.8300087886138982,0.1699912090916292,2.2944727457965315e-09
125,1,0.6874470432953952,0.31255162938791503,1.3273166897370373e-06
126,1,0.996530137126916,0.003469862873084062,1.7513246443597688e-23
127,1,0.6770870488074499,0.3229110128615465,1.93833100361136e-06
128,1,0.7907710999914307,0.20922888218668131,1.7821887927646657e-08
129,1,0.562600782704849,0.43730821268167536,9.100461347575781e-05
130,1,0.4842585642713945,0.5146950129320821,0.0010464227965234928
131,1,0.2220345320461467,0.5057742085047559,0.27219125944909744
132,1,0.9359107251668008,0.06408927483285419,3.451801578434094e-13
133,1,0.3169938504443193,0.6000079162791802,0.08299823327650045
134,1,0.5737801162601218,0.4261561899680709,6.369377180724241e-05
135,1,0.6126164937588386,0.3873655264126805,1.797982848078495e-05
136,1,0.5904927419015006,0.40947010414480967,3.715395368971715e-05
137,1,0.29915514708379576,0.5902080520939473,0.11063680082225703
138,1,0.8701108894680876,0.12988911035049006,1.8142225710423668e-10
139,1,0.5960434376745943,0.4039255500598309,3.101226557488219e-05
140,1,0.517785216462526,0.48184300519114565,0.0003717783463283788
141,1,0.7823025875294789,0.21769738580150608,2.6669015038024428e-08
142,1,0.1311545352342842,0.3442407527522914,0.5246047120134245
143,1,0.07620605740862291,0.22105467647812874,0.7027392661132484
144,1,0.14380693159795901,0.3699305306385242,0.4862625377635167
145,1,0.9186443456996726,0.08135565429759829,2.7291717970864994e-12
146,1,0.8607980838833447,0.1392019157717605,3.4489483946843827e-10
147,1,0.0858278219307239,0.2440544519379657,0.6701177261313104
148,1,0.8543271847704959,0.1456728147018118,5.276923830189214e-10
149,1,0.43400691782381084,0.5612174250125539,0.004775657163635227
150,1,0.6015818501056611,0.39839227728428916,2.5872610049760757e-05
151,1,0.3169938504443193,0.6000079162791802,0.08299823327650045
152,1,0.4786833623597652,0.5200753870696193,0.0012412505706155996
153,1,0.43962361444010223,0.5563333978412726,0.004042987718625227
154,1,0.4675386465693108,0.5307174990426644,0.0017438543880248754
155,1,0.6181100497030962,0.38187497337513343,1.497692177027571e-05
156,1,0.340866226785813,0.6061019076522937,0.053031865561893356
157,1,0.3686910252471614,0.6027894815573993,0.028519493195439248
158,1,0.19631190299946916,0.4657529596141218,0.3379351373864091
159,1,0.7692255166070032,0.2307744347820304,4.8610966378261945e-08
160,1,0.6613129105160697,0.3386836825570809,3.4069268495145812e-06
161,1,0.5514029068507447,0.4484673272556441,0.0001297658936113896
162,1,0.7557119165992903,0.2442879952444549,8.81562546969942e-08
